sequence,channel_0
0,-167
1,-169
2,-168
3,47
4,-417
5,-546
6,111
7,171
8,54
9,9
10,144
11,-207
12,-287
13,-95
14,-254
15,-181
16,95
17,-22
18,-232
19,160
20,447
21,415
22,337
23,227
24,62
25,167
26,399
27,320
28,-102
29,-277
30,51
31,112
32,-153
33,-235
34,-125
35,106
36,159
37,-37
38,-70
39,50
40,-44
41,-386
42,-122
43,128
44,165
45,212
46,96
47,-65
48,11
49,164
50,164
51,69
52,99
53,147
54,-75
55,-194
56,145
57,435
58,99
59,-125
60,-55
61,123
62,19
63,98
64,152
65,124
66,161
67,133
68,-5
69,49
70,76
71,-153
72,-206
73,-286
74,0
75,13
76,-32
77,-117
78,-97
79,-42
80,95
81,91
82,-6
83,-163
84,49
85,67
86,-128
87,97
88,127
89,237
90,131
91,-192
92,38
93,-47
94,-41
95,79
96,-350
97,-433
98,-365
99,21
100,-109
101,-377
102,-331
103,-196
104,95
105,14
106,46
107,136
108,-65
109,-128
110,141
111,103
112,-147
113,79
114,274
115,348
116,398
117,110
118,-213
119,164
120,407
121,203
122,151
123,-123
124,-232
125,-207
126,-143
127,-171
128,-163
129,-54
130,-157
131,-211
132,20
133,71
134,149
135,133
136,36
137,47
138,129
139,176
140,238
141,328
142,-17
143,-130
144,18
145,-88
146,142
147,118
148,130
149,139
150,16
151,-210
152,-315
153,-147
154,144
155,90
156,-80
157,-179
158,-130
159,102
160,105
161,-119
162,-139
163,169
164,143
165,38
166,-63
167,-67
168,-189
169,-299
170,-4
171,57
172,-202
173,-113
174,62
175,149
176,5
177,-102
178,59
179,-127
180,-100
181,-22
182,-63
183,-127
184,16
185,241
186,75
187,63
188,-27
189,21
190,24
191,-103
192,-76
193,184
194,437
195,135
196,99
197,170
198,195
199,180
200,151
201,292
202,159
203,-34
204,-2
205,56
206,-39
207,142
208,157
209,-175
210,-27
211,132
212,124
213,47
214,-67
215,-157
216,-100
217,135
218,12
219,-355
220,-273
221,-87
222,-21
223,31
224,-111
225,-174
226,-131
227,-37
228,-43
229,-4
230,-108
231,-108
232,-212
233,-174
234,-78
235,-110
236,-78
237,-18
238,7
239,88
240,27
241,16
242,25
243,-94
244,-37
245,234
246,213
247,156
248,276
249,221
250,203
251,292
252,303
253,68
254,-155
255,-245
256,-244
257,34
258,55
259,-283
260,-370
261,-31
262,60
263,-4
264,73
265,124
266,181
267,179
268,136
269,100
270,-19
271,-8
272,1
273,-31
274,-52
275,-88
276,-55
277,-242
278,-233
279,-108
280,-143
281,-302
282,-146
283,-65
284,-246
285,-119
286,197
287,258
288,-84
289,147
290,428
291,251
292,100
293,52
294,127
295,-73
296,-183
297,-44
298,156
299,160
300,18
301,-40
302,126
303,106
304,25
305,114
306,-81
307,-176
308,85
309,366
310,187
311,-255
312,-123
313,244
314,41
315,-89
316,-85
317,-98
318,-117
319,-48
320,-39
321,-236
322,-140
323,-85
324,-27
325,-111
326,-245
327,-33
328,-26
329,-45
330,-133
331,-140
332,-71
333,-136
334,-110
335,-94
336,-103
337,-83
338,-137
339,-160
340,-136
341,-184
342,-144
343,-4
344,-75
345,-288
346,-296
347,-77
348,-54
349,13
350,229
351,238
352,9
353,40
354,16
355,-92
356,-99
357,190
358,157
359,-136
360,17
361,115
362,-12
363,-115
364,-151
365,-316
366,-318
367,-294
368,-322
369,-242
370,-185
371,-49
372,-61
373,4
374,62
375,167
376,307
377,251
378,211
379,199
380,61
381,79
382,206
383,159
384,70
385,222
386,245
387,21
388,-171
389,63
390,59
391,37
392,5
393,-47
394,45
395,-90
396,-60
397,-7
398,-72
399,39
400,12
401,-84
402,37
403,114
404,47
405,200
406,105
407,54
408,200
409,485
410,160
411,-225
412,237
413,451
414,-65
415,-448
416,75
417,256
418,-96
419,-170
420,-96
421,8
422,-95
423,-86
424,-241
425,-331
426,-125
427,-128
428,-5
429,-38
430,-107
431,-247
432,-278
433,-42
434,4
435,-75
436,-33
437,-87
438,-167
439,-16
440,63
441,-21
442,-121
443,20
444,-259
445,-73
446,147
447,-180
448,-390
449,-287
450,-7
451,10
452,91
453,30
454,-235
455,-120
456,-124
457,-180
458,-285
459,-142
460,380
461,-200
462,-249
463,-6
464,18
465,153
466,-30
467,199
468,236
469,333
470,-92
471,-99
472,329
473,106
474,-240
475,-184
476,-111
477,-20
478,165
